"num","year","month","day","week","hour","minute"
397,2013,3,2,"周六",21,15
398,2013,3,3,"周日",21,0
399,2013,3,4,"周一",21,29
400,2013,3,5,"周二",21,36
401,2013,3,6,"周三",21,19
402,2013,3,7,"周日",21,40
403,2013,3,8,"周五",21,35
404,2013,3,9,"周六",21,17
405,2013,3,10,"周日",22,0
406,2013,3,11,"周一",21,23
407,2013,3,12,"周二",21,27
408,2013,3,13,"周三",21,29
409,2013,3,14,"周四",21,23
410,2013,3,15,"周五",21,30
411,2013,3,16,"周六",22,13
412,2013,3,17,"周日",21,31
413,2013,3,18,"周一",21,19
414,2013,3,19,"周二",22,49
415,2013,3,20,"周三",21,48
416,2013,3,21,"周四",21,24
417,2013,3,22,"周五",21,18
418,2013,3,23,"周六",21,9
419,2013,3,24,"周日",21,17
420,2013,3,25,"周一",21,17
421,2013,3,26,"周二",21,22
422,2013,3,27,"周三",20,56
423,2013,3,28,"周四",21,39
424,2013,3,29,"周五",21,24
425,2013,3,30,"周六",21,12
426,2013,3,31,"周日",21,19
427,2013,4,1,"周一",21,19
428,2013,4,2,"周二",21,39
429,2013,4,3,"周三",21,25
430,2013,4,4,"周四",21,24
431,2013,4,5,"周五",21,2
432,2013,4,6,"周六",21,7
433,2013,4,7,"周日",21,15
434,2013,4,8,"周一",21,26
435,2013,4,9,"周二",21,28
436,2013,4,10,"周三",21,42
437,2013,4,11,"周四",21,16
438,2013,4,12,"周五",21,36
439,2013,4,13,"周六",21,12
440,2013,4,14,"周日",21,12
441,2013,4,15,"周一",21,18
442,2013,4,16,"周二",21,49
443,2013,4,17,"周三",21,24
444,2013,4,18,"周四",21,20
445,2013,4,19,"周五",21,6
446,2013,4,20,"周六",21,17
447,2013,4,21,"周日",21,20
448,2013,4,22,"周一",22,40
449,2013,4,23,"周二",21,15
450,2013,4,24,"周三",21,15
451,2013,4,25,"周四",21,6
452,2013,4,26,"周五",21,35
453,2013,4,27,"周六",21,18
454,2013,4,28,"周日",21,3
455,2013,4,29,"周一",21,15
456,2013,4,30,"周二",21,1
457,2013,5,1,"周三",22,19
458,2013,5,2,"周四",21,23
459,2013,5,3,"周五",21,42
460,2013,5,4,"周六",21,36
461,2013,5,5,"周日",21,20
462,2013,5,6,"周一",21,20
463,2013,5,7,"周二",21,27
464,2013,5,8,"周三",21,14
465,2013,5,9,"周四",21,9
466,2013,5,10,"周五",21,27
467,2013,5,11,"周六",21,29
468,2013,5,12,"周日",20,59
469,2013,5,13,"周一",21,36
470,2013,5,14,"周二",21,29
471,2013,5,15,"周三",22,59
472,2013,5,16,"周四",22,22
473,2013,5,17,"周五",21,0
474,2013,5,18,"周六",23,38
475,2013,5,19,"周日",22,41
476,2013,5,20,"周一",21,23
477,2013,5,21,"周二",21,7
478,2013,5,22,"周三",21,17
479,2013,5,23,"周四",21,5
480,2013,5,24,"周五",21,32
481,2013,5,25,"周六",21,27
482,2013,5,26,"周日",21,4
483,2013,5,27,"周一",21,29
484,2013,5,28,"周二",21,6
485,2013,5,29,"周三",21,6
486,2013,5,30,"周四",21,4
487,2013,5,31,"周五",21,19
488,2013,6,1,"周六",21,14
489,2013,6,2,"周日",21,10
490,2013,6,3,"周一",21,23
491,2013,6,4,"周二",21,9
492,2013,6,5,"周三",21,9
493,2013,6,6,"周四",21,28
494,2013,6,7,"周五",21,17
495,2013,6,8,"周六",21,23
496,2013,6,9,"周日",21,24
497,2013,6,10,"周一",21,8
498,2013,6,11,"周二",21,17
499,2013,6,12,"周三",21,20
500,2013,6,13,"周四",21,22
501,2013,6,14,"周五",21,31
502,2013,6,15,"周六",21,21
503,2013,6,16,"周日",20,19
504,2013,6,17,"周一",21,14
505,2013,6,18,"周二",21,3
506,2013,6,19,"周三",21,21
507,2013,6,20,"周四",21,15
508,2013,6,21,"周五",21,33
509,2013,6,22,"周六",21,36
510,2013,6,23,"周日",21,16
511,2013,6,24,"周一",21,9
512,2013,6,25,"周二",21,37
513,2013,6,26,"周三",21,30
514,2013,6,27,"周四",21,37
515,2013,6,28,"周五",21,1
516,2013,6,29,"周六",21,19
517,2013,6,30,"周日",21,32
518,2013,7,1,"周一",21,28
519,2013,7,2,"周二",21,2
520,2013,7,3,"周三",21,35
521,2013,7,4,"周四",21,19
522,2013,7,5,"周五",21,3
523,2013,7,6,"周六",21,20
